identifier,name_en,scientific_name,major_group,isscaap_group,isscaap
20274,Tasmanian giant crab,Pseudocarcinus gigas,CRUSTACEA,"Crabs, sea-spiders",42
18650,Pilot whales nei,Globicephala spp,MAMMALIA,"Sperm-whales, pilot-whales",62
3636,Gracilaria seaweeds,Gracilaria spp,PLANTAE AQUATICAE,Red seaweeds,92
2323,Golden trevally,Gnathanodon speciosus,PISCES,Miscellaneous pelagic fishes,37
2545,Rex sole,Glyptocephalus zachirus,PISCES,"Flounders, halibuts, soles",31
18986,Spotfin flathead,Grammoplites suppositus,PISCES,Miscellaneous coastal fishes,33
2013,Nurse shark,Ginglymostoma cirratum,PISCES,"Sharks, rays, chimaeras",38
3209,West African goatfish,Pseudupeneus prayensis,PISCES,Miscellaneous coastal fishes,33
2513,Gouramis nei,Trichogaster spp,PISCES,Miscellaneous freshwater fishes,13
3390,Goose barnacles nei,Lepas spp,CRUSTACEA,Miscellaneous marine crustaceans,47
2402,Goatfishes,Upeneus spp,PISCES,Miscellaneous coastal fishes,33
2517,Gobies nei,Gobiidae,PISCES,Miscellaneous coastal fishes,33
2277,Brazilian groupers nei,Mycteroperca spp,PISCES,Miscellaneous coastal fishes,33
3071,Dusky grouper,Epinephelus marginatus,PISCES,Miscellaneous coastal fishes,33
14343,Longfin hake,Phycis chesteri,PISCES,"Cods, hakes, haddocks",32
2280,Nassau grouper,Epinephelus striatus,PISCES,Miscellaneous coastal fishes,33
3075,Red grouper,Epinephelus morio,PISCES,Miscellaneous coastal fishes,33
3074,Spotted grouper,Epinephelus analogus,PISCES,Miscellaneous coastal fishes,33
3072,White grouper,Epinephelus aeneus,PISCES,Miscellaneous coastal fishes,33
2278,Groupers nei,Epinephelus spp,PISCES,Miscellaneous coastal fishes,33
18996,Fusiform sargassum,Sargassum fusiforme,PLANTAE AQUATICAE,Brown seaweeds,91
18952,Sordid rubberlip,Plectorhinchus sordidus,PISCES,Miscellaneous coastal fishes,33
3631,Giant kelps nei,Macrocystis spp,PLANTAE AQUATICAE,Brown seaweeds,91
18951,Blackspotted rubberlip,Plectorhinchus gaterinus,PISCES,Miscellaneous coastal fishes,33
2339,African striped grunt,Parapristipoma octolineatum,PISCES,Miscellaneous coastal fishes,33
3147,Bigeye grunt,Brachydeuterus auritus,PISCES,Miscellaneous coastal fishes,33
2219,Greenland cod,Gadus ogac,PISCES,"Cods, hakes, haddocks",32
2145,Greeneyes,Chlorophthalmidae,PISCES,Miscellaneous demersal fishes,34
2340,Silver grunt,Pomadasys argenteus,PISCES,Miscellaneous coastal fishes,33
2243,Patagonian grenadier,Macruronus magellanicus,PISCES,"Cods, hakes, haddocks",32
3033,Blue grenadier,Macruronus novaezelandiae,PISCES,"Cods, hakes, haddocks",32
3383,Groundfishes nei,Osteichthyes,PISCES,Marine fishes not identified,39
3143,Cabinza grunt,Isacia conceptionis,PISCES,Miscellaneous coastal fishes,33
16222,Mediterranean geryon,Geryon longipes,CRUSTACEA,"Crabs, sea-spiders",42
2244,Grenadiers nei,Macrourus spp,PISCES,"Cods, hakes, haddocks",32
18170,Gray whale,Eschrichtius robustus,MAMMALIA,"Blue-whales, fin-whales",61
3142,"Grunts, sweetlips nei",Haemulidae (=Pomadasyidae),PISCES,Miscellaneous coastal fishes,33
3494,Turban shells nei,Ex Turbo spp,MOLLUSCA,"Pearls, mother-of-pearl, shells",81
2033,Greenland shark,Somniosus microcephalus,PISCES,"Sharks, rays, chimaeras",38
2382,Silver seabream,Pagrus auratus,PISCES,Miscellaneous coastal fishes,33
12291,Three-spined stickleback,Gasterosteus aculeatus,PISCES,Miscellaneous diadromous fishes,25
2048,"Guitarfishes, etc. nei",Rhinobatidae,PISCES,"Sharks, rays, chimaeras",38
3337,Cape gurnard,Chelidonichthys capensis,PISCES,Miscellaneous demersal fishes,34
